ECO Number,Part Number,Part Name,Designator,Change Description,Old Version Number,New Version Number,Release Date,"Change Type (modify,remove,add)",Design/Document Change,"Change Over Process (Running, Immediate)",Old CM Part Number,New CM Part Number,Old MPN,New MPN,Old Manufacturer,New Manufacturer,Reason for Change,"Raw Change Data: [new,old]",CM Approval,CM Comments
C-1002043,P-1000010,Okra Cicada 2G PCBA,,- Updated NC Drill and Pick N Place files (these were not regenerated for last release)  - Removed Assembly files as these are not generated for the other PCBs,3.0.0,3.0.1,,Modify,Documentation,Immediate,N/A,N/A,N/A,N/A,Okra,Okra,N/A,,,
C-1002042,P-1000010,Okra Cicada 2G PCBA,J4,- Replace J4 with Hirose U.FL-R-SMT-1(80) (was previously Murata Electronics MM4829-2702RA4 which is incorrect style of coax connector)   - Added test instructions,3.0.1,3.1.0,2020-12-08,Modify,Design,Immediate,N/A,N/A,N/A,N/A,Okra,Okra,N/A,,,
C-1002041,P-1000010,Okra Cicada 2G PCBA,L4,Add alternate part,3.1.0,3.2.0,2022-04-22,Alternate,Design,Running,1102-000133-00,,FPI0403F-3R3M,CD43YP0403-3R3M,TAITEC,YJYCOIN,Supply issues resulted in the alternate being used for Run 4 (V10.1),,,
C-1002040,P-1000010,Okra Cicada 2G PCBA,BOM,generated new bom file,3.2.0,3.2.1,2022-04-29,Modify,Document,immediate,N/A,N/A,N/A,N/A,N/A,N/A,bom file not updated in previous release,,,
C-1002759,P-1000010,Okra Cicada 2G PCBA,D5,DNP D5 from USB section,3.2.1,3.3.0,2025-08-06,Remove,Design,Immediate,,,SS14F,,MDD,,DNPing whole USB section as it is never used. Cost reduction,,,
C-1002760,P-1000010,Okra Cicada 2G PCBA,D10,DNP D10 from USB section,3.2.1,3.3.0,2025-08-06,Remove,Design,Immediate,,,SS14F,,MDD,,DNPing whole USB section as it is never used. Cost reduction,,,
C-1002761,P-1000010,Okra Cicada 2G PCBA,J3,DNP J3 micro UBS connector,3.2.1,3.3.0,2025-08-06,Remove,Design,Immediate,,,A01SB141B1-067,,Jing Extension of the Electronic,,DNPing whole USB section as it is never used. Cost reduction,,,
C-1002762,P-1000010,Okra Cicada 2G PCBA,R14,DNP R14 from USB section,3.2.1,3.3.0,2025-08-06,Remove,Design,Immediate,,,RC0402FR-076K98L,,YAGEO,,DNPing whole USB section as it is never used. Cost reduction,,,
C-1002763,P-1000010,Okra Cicada 2G PCBA,U2,DNP U2 from USB section,3.2.1,3.3.0,2025-08-06,Remove,Design,Immediate,,,USBLC6-2SC6,,Yenji Elec,,DNPing whole USB section as it is never used. Cost reduction,,,
C-1002764,P-1000010,Okra Cicada 2G PCBA,U3,Supplier part number update. Part unchanged,3.2.1,3.3.0,2025-08-06,Modify,Document,Running,,,M3406-ADJ,MT3406,XI'AN Aerosemi Tech,XI'AN Aerosemi Tech,Supplier part number update. Part unchanged,,,
